ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
4819,1990,Argentina,Northeast,Coffee,1238.02,5.97,0.97,8,80.49,26.03,56.52,81.69,Tanpa Adaptasi,1.01
4612,1990,Argentina,Northeast,Corn,2412.68,21.37,1.719,9,13.86,33.4,97.57,54.26,Manajemen Air,11.81
4824,1990,Argentina,Northeast,Cotton,1282.89,21.74,0.8370000000000001,4,46.43,42.33,45.91,71.53,Rotasi Tanaman,27.75
1035,1990,Argentina,Northeast,Fruits,2187.52,14.57,3.74,8,24.94,1.11,92.01,87.66,Rotasi Tanaman,30.46
2414,1990,Argentina,Northeast,Fruits,893.09,6.89,3.7,8,57.33,43.73,23.63,59.92,Tanaman Tahan Kekeringan,10.46
170,1990,Argentina,Northeast,Rice,790.69,27.16,1.899,6,59.14,37.87,9.89,67.62,Pertanian Organik,26.7
5438,1990,Argentina,Northeast,Sugarcane,2874.4,22.56,4.221,0,96.19,24.62,68.72,78.9,Tanaman Tahan Kekeringan,15.02
7483,1990,Argentina,Northeast,Vegetables,444.01,13.18,2.484,6,66.28,21.31,33.35,98.73,Rotasi Tanaman,6.79
5251,1990,Argentina,Northeast,,720.38,11.03,2.36,0,93.23,37.02,51.92,61.07,Rotasi Tanaman,10.91
2036,1990,Argentina,Northwest,Coffee,2387.84,10.37,2.82,4,36.12,21.4,53.24,62.53,Rotasi Tanaman,11.93
590,1990,Argentina,Northwest,Fruits,659.37,28.86,3.879,8,52.41,27.5,47.41,63.11,Manajemen Air,12.89
4606,1990,Argentina,Northwest,Rice,1222.81,11.9,3.69,6,96.53,45.3,42.43,80.38,Manajemen Air,17.81
295,1990,Argentina,Pampas,Barley,472.37,23.35,3.5730000000000004,7,54.86,36.43,25.95,39.93,Manajemen Air,15.77
2930,1990,Argentina,Pampas,Coffee,1054.6,29.79,2.646,10,16.76,3.61,35.97,61.74,Rotasi Tanaman,27.61
2694,1990,Argentina,Pampas,Rice,2607.96,3.32,2.47,4,19.57,43.5,3.81,69.54,Pertanian Organik,31.24
2304,1990,Argentina,Pampas,Soybeans,1020.09,1.04,0.94,8,30.57,40.92,17.3,57.83,Tanaman Tahan Kekeringan,29.81
4793,1990,Argentina,Pampas,Vegetables,1517.35,18.7,3.483,3,42.85,12.24,53.53,32.89,Rotasi Tanaman,17.56
7387,1990,Argentina,Pampas,Wheat,1175.6,25.88,4.383,8,57.06,20.34,60.94,65.92,Tanpa Adaptasi,14.98
3964,1990,Argentina,Patagonia,Barley,1673.6,12.15,0.84,8,62.22,8.35,95.08,31.43,Pertanian Organik,21.65
2112,1990,Argentina,Patagonia,Cotton,2132.01,25.78,,2,59.64,33.46,27.32,78.72,Tanpa Adaptasi,8.84
6200,1990,Argentina,Patagonia,Soybeans,2455.56,2.62,,8,10.6,16.11,4.05,84.43,Manajemen Air,3.54
2298,1991,Argentina,Northeast,Coffee,2520.48,29.26,2.871,9,73.09,0.88,19.87,53.76,Manajemen Air,29.38
6470,1991,Argentina,Northeast,Coffee,1696.82,24.54,2.592,8,90.46,30.76,12.8,88.13,Tanpa Adaptasi,22.02
5993,1991,Argentina,Northeast,Corn,2158.03,21.57,2.3400000000000003,7,49.09,17.64,39.94,64.83,Tanpa Adaptasi,33.19
600,1991,Argentina,Northeast,Cotton,730.62,14.72,1.68,5,73.67,16.79,93.44,47.46,Tanpa Adaptasi,-3.32
127,1991,Argentina,Northeast,Fruits,1283.79,11.4,0.97,4,66.78,49.55,64.95,76.02,Pertanian Organik,29.95
362,1991,Argentina,Northeast,Rice,1317.26,9.81,3.6,8,35.49,44.83,17.06,85.55,Tanaman Tahan Kekeringan,24.19
5295,1991,Argentina,Northeast,Rice,791.39,20.4,1.026,0,80.94,4.19,61.5,41.57,Tanpa Adaptasi,5.24
