ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
3771,1990,Australia,'New South Wales',Cotton,2662.45,5.06,2.77,1,12.39,37.31,16.46,60.0,Manajemen Air,9.85
5877,1990,Australia,'New South Wales',Cotton,1172.64,10.07,1.94,3,58.64,13.32,76.95,90.77,Rotasi Tanaman,25.98
967,1990,Australia,'New South Wales',Fruits,2109.43,24.38,3.366,1,83.12,20.63,59.37,83.43,Manajemen Air,30.73
6992,1990,Australia,'New South Wales',Sugarcane,1047.96,23.75,3.177,2,81.07,11.45,29.88,85.93,Tanaman Tahan Kekeringan,26.65
7859,1990,Australia,'New South Wales',Wheat,792.95,20.71,2.16,10,61.95,36.69,18.7,42.84,Tanaman Tahan Kekeringan,9.51
6246,1990,Australia,'Western Australia',Barley,1794.74,5.36,1.5,5,34.95,34.28,91.47,40.77,Pertanian Organik,1.55
6091,1990,Australia,'Western Australia',Corn,1166.81,29.29,3.123,0,30.38,6.43,80.73,31.81,Manajemen Air,24.92
1616,1990,Australia,'Western Australia',Cotton,2233.73,17.72,1.8,0,71.56,25.89,64.21,31.35,Manajemen Air,28.96
5172,1990,Australia,'Western Australia',Cotton,1974.5,12.51,1.04,10,73.58,24.81,76.55,83.61,Rotasi Tanaman,5.28
2636,1990,Australia,'Western Australia',Wheat,1589.46,29.82,0.5940000000000001,4,92.18,19.66,8.76,70.36,Rotasi Tanaman,3.95
5,1990,Australia,Queensland,Fruits,2265.29,2.33,2.03,4,79.39,48.8,3.3,77.63,Tanpa Adaptasi,14.7
6443,1990,Australia,Queensland,Wheat,2566.2,8.29,1.34,10,32.17,14.38,86.57,84.08,Manajemen Air,7.63
5092,1990,Australia,Victoria,Barley,1531.7,3.74,2.03,3,94.21,45.11,42.02,65.18,Tanpa Adaptasi,4.39
7413,1990,Australia,Victoria,Coffee,2396.39,4.05,3.75,10,97.83,0.66,56.46,66.68,Rotasi Tanaman,25.91
3579,1990,Australia,Victoria,Rice,1813.13,28.18,3.546,0,71.66,48.21,76.79,87.34,Pertanian Organik,24.52
5591,1990,Australia,Victoria,Vegetables,424.39,20.54,2.151,8,72.44,0.88,83.48,78.36,Pertanian Organik,-1.89
755,1990,Australia,Victoria,Wheat,1626.77,28.94,2.133,1,43.84,24.22,77.72,74.01,Pertanian Organik,0.87
1558,1991,Australia,'New South Wales',Cotton,1521.34,17.27,0.765,0,95.14,31.53,41.74,89.47,Rotasi Tanaman,29.24
375,1991,Australia,'New South Wales',Rice,2772.5,7.45,3.94,3,,29.25,37.98,60.56,Tanpa Adaptasi,16.86
1077,1991,Australia,'New South Wales',Rice,891.95,23.34,0.891,8,44.0,32.34,7.06,61.44,Tanaman Tahan Kekeringan,26.66
5042,1991,Australia,'New South Wales',Rice,2640.75,3.89,2.28,0,15.9,22.27,9.59,84.18,Pertanian Organik,0.67
5453,1991,Australia,'New South Wales',,2189.72,24.16,2.43,9,79.66,7.56,60.74,74.22,Pertanian Organik,26.62
2166,1991,Australia,'Western Australia',Corn,2001.52,21.87,4.212,6,15.63,29.35,20.25,82.63,Tanpa Adaptasi,18.69
6547,1991,Australia,'Western Australia',Corn,427.96,11.46,1.971,9,63.35,38.43,55.76,37.88,Tanaman Tahan Kekeringan,23.77
6553,1991,Australia,'Western Australia',Corn,2136.25,18.29,1.485,7,27.68,16.69,83.15,49.44,Manajemen Air,3.63
7893,1991,Australia,Queensland,Corn,455.67,2.36,3.609,1,63.61,17.5,73.5,53.09,Rotasi Tanaman,19.53
7617,1991,Australia,Queensland,Cotton,2465.32,23.57,1.134,6,84.52,9.36,22.15,64.51,Tanpa Adaptasi,-3.68
4729,1991,Australia,Queensland,Fruits,1369.28,12.99,2.58,6,93.19,31.54,97.75,36.5,Manajemen Air,25.12
4684,1991,Australia,Queensland,Rice,773.81,12.5,4.82,4,62.24,18.94,54.92,82.06,Tanaman Tahan Kekeringan,15.66
6727,1991,Australia,Queensland,Sugarcane,524.38,10.37,2.15,1,36.11,9.2,17.03,92.29,Pertanian Organik,15.11
6077,1991,Australia,Queensland,Vegetables,655.7,10.73,1.61,5,82.42,34.79,53.69,88.82,Manajemen Air,9.56
4823,1991,Australia,Victoria,Barley,1112.01,11.58,2.79,6,57.94,32.98,23.98,63.89,Rotasi Tanaman,5.86
909,1991,Australia,Victoria,Cotton,2255.2,3.02,1.96,0,53.5,13.58,1.86,82.82,Rotasi Tanaman,9.23
692,1991,Australia,Victoria,Fruits,934.32,28.92,2.421,2,86.01,22.46,90.27,74.76,Manajemen Air,4.28
5135,1991,Australia,Victoria,Soybeans,892.24,5.72,2.09,7,75.78,30.17,61.89,54.41,Rotasi Tanaman,10.99
1655,1991,Australia,Victoria,Vegetables,2279.38,15.41,2.763,4,38.61,20.27,10.15,69.21,Tanpa Adaptasi,34.54
5502,1991,Australia,Victoria,Vegetables,1480.6,14.95,,10,97.5,15.63,27.22,76.99,Manajemen Air,32.07
1005,1991,Australia,Victoria,Wheat,2962.49,22.46,1.773,8,35.78,11.56,57.99,63.13,Tanaman Tahan Kekeringan,16.67
1488,1991,Australia,Victoria,Wheat,371.93,11.22,2.007,0,57.27,36.56,78.73,55.44,Manajemen Air,24.28
1415,1991,Australia,Victoria,,1798.57,9.61,1.54,3,,42.78,86.13,84.96,Manajemen Air,23.59
267,1992,Australia,'New South Wales',Cotton,1786.78,27.64,2.349,4,27.29,0.04,82.65,57.07,Manajemen Air,0.52
7328,1992,Australia,'New South Wales',Cotton,284.8,0.94,2.4120000000000004,4,26.63,2.91,69.86,30.45,Rotasi Tanaman,31.96
7405,1992,Australia,'New South Wales',Cotton,1004.29,18.82,1.755,1,81.42,7.22,48.1,99.03,Tanaman Tahan Kekeringan,3.93
5840,1992,Australia,'New South Wales',Fruits,1911.34,13.25,1.24,0,78.15,12.71,37.63,30.68,Pertanian Organik,0.73
789,1992,Australia,'New South Wales',Rice,1173.58,29.64,3.249,1,57.86,46.55,76.74,65.2,Manajemen Air,27.89
6015,1992,Australia,'New South Wales',Soybeans,1679.85,7.72,3.52,1,66.66,48.77,73.1,45.33,Rotasi Tanaman,15.8
2337,1992,Australia,'New South Wales',Sugarcane,2952.85,24.53,3.249,1,12.25,18.26,22.5,70.79,Manajemen Air,30.27
1120,1992,Australia,'New South Wales',Wheat,1683.06,16.79,1.737,0,42.98,49.33,23.85,54.95,Tanaman Tahan Kekeringan,-4.81
6296,1992,Australia,'New South Wales',Wheat,356.17,0.84,3.438,2,82.8,23.53,41.35,85.82,Rotasi Tanaman,12.87
7843,1992,Australia,'New South Wales',Wheat,2399.24,5.67,2.64,6,15.11,4.73,82.01,55.67,Pertanian Organik,4.35
6038,1992,Australia,'Western Australia',Barley,2872.86,14.98,2.98,9,64.93,12.88,43.98,67.83,Tanaman Tahan Kekeringan,14.38
1680,1992,Australia,'Western Australia',Coffee,504.76,4.04,1.34,7,12.87,43.67,41.7,37.97,Tanaman Tahan Kekeringan,25.54
6132,1992,Australia,'Western Australia',Fruits,442.74,23.42,2.439,4,83.45,2.51,3.44,32.82,Tanaman Tahan Kekeringan,22.5
2490,1992,Australia,'Western Australia',Wheat,1945.67,11.84,0.98,10,94.04,33.48,60.6,86.36,Rotasi Tanaman,28.88
7603,1992,Australia,Queensland,Barley,2055.87,23.03,1.296,4,68.85,23.94,64.58,59.86,Tanpa Adaptasi,-1.55
4581,1992,Australia,Queensland,Corn,264.23,7.35,2.664,8,62.28,8.16,39.0,33.06,Manajemen Air,7.06
4485,1992,Australia,Queensland,Cotton,1037.9,4.37,1.0,9,89.15,17.33,82.07,72.55,Tanpa Adaptasi,3.5
4759,1992,Australia,Queensland,Cotton,1192.25,6.36,1.26,10,56.74,20.02,64.83,74.72,Pertanian Organik,8.88
5700,1992,Australia,Queensland,Cotton,759.11,10.01,,10,38.31,13.22,57.49,92.54,Pertanian Organik,-4.45
4519,1992,Australia,Queensland,Fruits,399.9,23.17,2.124,1,91.0,28.86,86.8,66.38,Pertanian Organik,15.43
3930,1992,Australia,Queensland,Sugarcane,1062.72,4.16,3.41,1,62.83,1.42,65.46,74.73,Manajemen Air,11.0
4502,1992,Australia,Queensland,Vegetables,2817.83,26.71,3.276,5,67.96,18.64,30.44,92.26,Manajemen Air,16.38
7722,1992,Australia,Queensland,Vegetables,1720.82,27.61,2.547,1,41.41,30.43,21.16,39.47,Tanaman Tahan Kekeringan,8.26
2628,1992,Australia,Queensland,Wheat,2144.52,21.99,1.4400000000000002,7,58.07,25.42,2.16,38.2,Pertanian Organik,3.79
4490,1992,Australia,Queensland,,1453.38,7.71,2.74,10,85.23,46.14,37.36,86.7,Manajemen Air,18.08
3433,1992,Australia,Victoria,Coffee,2779.86,20.85,1.296,10,77.87,15.9,15.57,53.42,Tanaman Tahan Kekeringan,-0.3
6599,1992,Australia,Victoria,Fruits,2991.25,7.36,2.65,10,30.79,48.99,83.32,39.04,Tanaman Tahan Kekeringan,-3.96
7066,1992,Australia,Victoria,Soybeans,1929.34,13.75,3.38,3,52.43,15.06,89.59,75.98,Manajemen Air,21.08
7499,1992,Australia,Victoria,Wheat,1435.17,1.81,2.27,9,22.03,1.94,11.21,62.4,Tanaman Tahan Kekeringan,34.09
4496,1993,Australia,'New South Wales',Coffee,2971.02,27.94,1.6740000000000002,8,15.45,31.45,71.4,62.65,Pertanian Organik,-3.65
5808,1993,Australia,'New South Wales',Coffee,2146.55,15.35,1.737,6,65.15,11.8,13.77,39.88,Manajemen Air,-3.32
6407,1993,Australia,'New South Wales',Rice,839.24,13.96,0.82,4,18.68,8.74,73.4,45.12,Pertanian Organik,3.66
2094,1993,Australia,'New South Wales',,1441.54,17.82,2.4120000000000004,3,65.38,12.44,42.76,37.06,Tanaman Tahan Kekeringan,18.63
817,1993,Australia,'Western Australia',Barley,2418.38,3.2,3.44,7,61.55,18.6,54.9,74.4,Rotasi Tanaman,29.02
1258,1993,Australia,'Western Australia',Coffee,1048.57,1.99,0.63,5,99.6,28.68,64.66,49.3,Pertanian Organik,9.15
5798,1993,Australia,'Western Australia',Coffee,456.45,5.76,3.285,4,28.91,19.17,55.14,62.0,Manajemen Air,30.96
397,1993,Australia,'Western Australia',Fruits,2693.37,5.25,1.26,0,88.71,1.85,27.18,88.69,Tanaman Tahan Kekeringan,-4.08
893,1993,Australia,'Western Australia',Fruits,2593.71,13.92,1.18,4,53.69,3.36,30.56,52.94,Tanpa Adaptasi,27.94
6827,1993,Australia,'Western Australia',Fruits,2635.32,2.68,3.9,7,13.46,13.59,7.35,50.21,Tanpa Adaptasi,14.82
2274,1993,Australia,'Western Australia',Soybeans,1076.02,5.28,2.26,7,47.1,0.32,23.72,81.99,Rotasi Tanaman,13.12
4019,1993,Australia,'Western Australia',Soybeans,245.79,27.53,1.998,3,99.8,42.07,48.58,64.6,Manajemen Air,15.82
5484,1993,Australia,'Western Australia',Soybeans,2201.47,22.96,2.475,1,92.29,30.64,94.29,76.59,Tanpa Adaptasi,27.64
456,1993,Australia,Queensland,Coffee,2533.2,22.07,1.0080000000000002,2,54.93,9.94,96.63,97.86,Tanpa Adaptasi,29.51
1049,1993,Australia,Queensland,Coffee,2661.95,3.29,2.9,10,69.98,16.22,4.84,47.58,Manajemen Air,33.78
5216,1993,Australia,Queensland,Cotton,2854.44,22.79,1.053,1,23.94,42.41,13.56,85.97,Tanaman Tahan Kekeringan,0.13
2605,1993,Australia,Queensland,Fruits,1689.19,25.36,3.582,6,56.55,26.4,53.45,62.42,Rotasi Tanaman,33.81
6894,1993,Australia,Queensland,Rice,2759.73,12.12,2.21,2,48.13,20.97,83.8,39.15,Rotasi Tanaman,-2.15
2500,1993,Australia,Queensland,Sugarcane,1898.75,21.77,2.403,0,86.47,0.86,37.13,58.64,Rotasi Tanaman,20.35
6414,1993,Australia,Queensland,Vegetables,2495.42,9.19,3.48,2,35.89,37.44,68.69,49.38,Manajemen Air,34.78
1406,1993,Australia,Queensland,,587.75,22.79,1.8,0,55.71,5.0,42.89,94.39,Manajemen Air,3.0
4418,1993,Australia,Victoria,Coffee,1053.46,29.11,1.512,0,99.9,22.6,62.47,62.64,Pertanian Organik,17.6
4098,1993,Australia,Victoria,Cotton,1097.05,16.64,3.15,9,93.91,16.62,40.35,64.27,Tanaman Tahan Kekeringan,30.27
5053,1993,Australia,Victoria,Fruits,1879.01,29.8,3.123,3,18.76,10.84,18.34,75.85,Pertanian Organik,31.98
5193,1993,Australia,Victoria,Sugarcane,1916.75,18.45,1.908,2,27.08,27.09,68.2,97.68,Tanpa Adaptasi,28.99
1756,1993,Australia,Victoria,,852.27,25.68,1.278,3,,5.33,40.7,89.62,Tanpa Adaptasi,29.77
2236,1994,Australia,'New South Wales',Coffee,2712.82,19.55,2.268,1,22.5,12.81,66.1,87.39,Pertanian Organik,30.49
5696,1994,Australia,'New South Wales',Cotton,2993.87,28.08,2.385,5,58.56,24.54,19.99,87.32,Tanpa Adaptasi,6.05
4586,1994,Australia,'New South Wales',Rice,1336.07,28.01,1.746,4,92.65,45.52,58.66,98.05,Rotasi Tanaman,-4.86
5060,1994,Australia,'Western Australia',Corn,1189.57,19.98,2.619,7,81.78,1.54,86.11,31.16,Rotasi Tanaman,17.65
7891,1994,Australia,'Western Australia',Fruits,1103.86,25.73,2.862,5,28.24,20.3,93.3,84.96,Rotasi Tanaman,24.92
260,1994,Australia,'Western Australia',Sugarcane,1755.18,25.71,2.295,3,40.92,30.86,61.87,97.01,Tanpa Adaptasi,7.81
842,1994,Australia,'Western Australia',Vegetables,2232.66,26.02,3.4290000000000003,9,33.69,10.77,36.64,99.03,Tanaman Tahan Kekeringan,12.45
5324,1994,Australia,Queensland,Barley,2518.46,8.29,2.89,2,18.85,45.96,53.77,75.85,Tanaman Tahan Kekeringan,26.06
1943,1994,Australia,Queensland,Corn,798.65,8.8,0.83,7,56.83,45.07,32.18,87.31,Tanpa Adaptasi,31.39
5687,1994,Australia,Queensland,Fruits,1351.13,5.15,2.44,6,61.3,35.55,1.93,57.78,Rotasi Tanaman,0.07
208,1994,Australia,Queensland,Rice,2953.61,11.26,2.32,8,28.57,34.81,21.81,92.57,Manajemen Air,3.67
784,1994,Australia,Queensland,Vegetables,2964.15,24.23,2.826,8,43.33,24.08,47.88,46.46,Rotasi Tanaman,33.23
3156,1994,Australia,Queensland,,1456.06,2.19,4.35,10,11.59,19.44,68.81,95.67,Pertanian Organik,16.15
1036,1994,Australia,Victoria,Barley,376.95,26.54,0.945,10,66.78,22.35,47.48,86.03,Pertanian Organik,34.9
5090,1994,Australia,Victoria,Barley,2143.99,27.9,1.4580000000000002,0,43.61,4.69,96.67,68.22,Pertanian Organik,4.69
7860,1994,Australia,Victoria,Fruits,,11.63,1.85,10,26.43,40.22,90.25,37.33,Rotasi Tanaman,9.77
1807,1994,Australia,Victoria,Rice,2143.8,1.19,0.52,5,49.02,9.82,71.25,49.75,Pertanian Organik,-1.17
7130,1994,Australia,Victoria,Rice,1339.47,18.14,1.296,9,33.16,25.01,5.89,53.24,Pertanian Organik,5.89
90,1994,Australia,Victoria,Sugarcane,1618.89,6.18,2.7,9,59.02,37.03,66.22,49.86,Rotasi Tanaman,9.27
846,1994,Australia,Victoria,Vegetables,2219.46,7.95,0.61,6,18.21,16.33,93.12,58.47,Pertanian Organik,5.4
1029,1994,Australia,Victoria,Vegetables,930.07,4.66,2.28,10,57.75,1.88,65.81,75.94,Tanpa Adaptasi,-2.29
7590,1994,Australia,Victoria,Vegetables,885.03,22.19,0.873,7,78.12,12.51,53.2,65.9,Rotasi Tanaman,28.12
879,1994,Australia,Victoria,Wheat,2412.26,12.4,3.8,6,21.31,39.95,10.03,80.73,Manajemen Air,33.53
5821,1994,Australia,Victoria,Wheat,1637.89,24.75,1.935,7,25.64,37.9,9.5,69.26,Tanaman Tahan Kekeringan,10.17
6716,1994,Australia,Victoria,,2899.32,26.34,2.853,1,58.58,18.32,31.91,57.66,Pertanian Organik,25.19
906,1995,Australia,'New South Wales',Barley,1093.87,19.0,2.232,1,75.43,36.76,94.74,88.61,Tanpa Adaptasi,-4.74
2942,1995,Australia,'New South Wales',Coffee,2273.72,5.77,0.58,10,92.5,29.57,25.78,90.75,Tanpa Adaptasi,7.07
