ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
2486,1990,Brazil,North,Cotton,678.67,15.71,3.339,10,58.16,24.08,23.06,96.01,Pertanian Organik,28.96
3166,1990,Brazil,North,Vegetables,668.93,20.08,2.421,8,37.94,27.01,55.6,69.3,Tanpa Adaptasi,32.09
792,1990,Brazil,Northeast,Corn,1684.51,0.64,,3,26.68,6.68,19.94,98.57,Rotasi Tanaman,9.92
5392,1990,Brazil,Northeast,Cotton,1595.71,10.64,1.58,0,16.67,1.63,30.1,96.45,Pertanian Organik,29.65
1081,1990,Brazil,Northeast,Fruits,628.7,23.4,1.089,8,64.67,26.46,76.08,78.07,Rotasi Tanaman,30.14
2507,1990,Brazil,Northeast,Fruits,2422.87,9.28,1.72,10,18.64,33.77,61.48,87.12,Manajemen Air,17.04
3497,1990,Brazil,Northeast,Fruits,2306.99,3.3,1.03,2,48.59,47.59,3.2,84.42,Tanaman Tahan Kekeringan,29.96
6269,1990,Brazil,Northeast,Fruits,1291.53,23.13,1.053,2,84.88,12.8,32.0,90.53,Tanaman Tahan Kekeringan,33.31
6989,1990,Brazil,Northeast,Rice,654.59,1.68,1.78,10,52.13,0.2,97.22,40.02,Rotasi Tanaman,5.47
4153,1990,Brazil,Northeast,Sugarcane,818.35,26.6,2.115,3,64.28,10.28,73.15,53.7,Manajemen Air,2.53
6281,1990,Brazil,Northeast,Sugarcane,1882.68,2.19,0.64,9,80.73,29.09,83.4,75.09,Rotasi Tanaman,3.48
7636,1990,Brazil,South,Rice,1741.26,0.86,,9,66.27,46.73,77.48,62.54,Tanaman Tahan Kekeringan,19.73
3819,1990,Brazil,South,Soybeans,1469.61,16.48,1.845,1,72.7,35.05,57.37,86.61,Tanpa Adaptasi,22.84
912,1990,Brazil,South,Wheat,2786.23,15.67,2.781,2,24.96,28.8,13.58,61.95,Tanpa Adaptasi,10.31
7342,1990,Brazil,South,,1539.58,9.7,1.76,2,49.92,12.68,10.67,96.86,Manajemen Air,16.81
4564,1990,Brazil,Southeast,Coffee,1504.73,25.81,2.1870000000000003,2,81.45,3.15,42.3,72.78,Tanaman Tahan Kekeringan,9.45
2898,1990,Brazil,Southeast,Wheat,2983.57,25.05,2.583,10,59.02,37.34,55.92,86.2,Manajemen Air,12.6
