ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
6191,1990,Canada,'British Columbia',Barley,1954.75,4.13,3.63,5,46.27,3.62,88.77,60.89,Pertanian Organik,18.82
6674,1990,Canada,'British Columbia',Barley,210.11,14.81,1.53,4,72.06,40.21,92.97,61.06,Manajemen Air,13.08
6704,1990,Canada,'British Columbia',Coffee,966.74,13.03,1.57,10,42.17,26.0,56.71,66.85,Manajemen Air,24.1
1093,1990,Canada,'British Columbia',Corn,2817.06,19.89,2.718,8,29.12,0.69,90.03,59.37,Tanaman Tahan Kekeringan,30.65
5740,1990,Canada,'British Columbia',Fruits,2021.05,9.61,1.65,4,61.75,33.91,79.05,32.7,Tanpa Adaptasi,30.76
606,1990,Canada,'British Columbia',Soybeans,2578.96,19.59,1.053,5,79.59,38.83,95.36,61.21,Tanaman Tahan Kekeringan,-4.44
4999,1990,Canada,'British Columbia',Sugarcane,2284.9,16.25,2.439,6,36.39,4.43,74.97,35.29,Pertanian Organik,8.36
435,1990,Canada,'British Columbia',Vegetables,2642.61,25.02,1.53,10,31.75,31.72,66.64,92.82,Rotasi Tanaman,-4.68
3284,1990,Canada,Ontario,Barley,2569.17,23.63,2.9610000000000003,4,71.8,43.72,53.53,47.64,Rotasi Tanaman,28.85
3521,1990,Canada,Ontario,Barley,2396.65,9.6,1.44,5,52.13,44.01,67.58,78.44,Tanpa Adaptasi,3.2
4676,1990,Canada,Ontario,Barley,1872.17,3.96,2.64,7,23.59,3.28,22.11,61.12,Rotasi Tanaman,1.82
7099,1990,Canada,Ontario,Barley,2243.91,8.05,2.71,10,14.57,1.49,71.93,51.49,Tanaman Tahan Kekeringan,28.43
7120,1990,Canada,Ontario,Corn,1982.71,16.78,3.861,5,20.58,11.89,4.39,45.41,Tanaman Tahan Kekeringan,12.4
6825,1990,Canada,Ontario,Fruits,2764.6,17.65,2.052,7,65.96,25.78,72.31,52.75,Pertanian Organik,15.5
3582,1990,Canada,Prairies,Coffee,1362.73,12.08,1.52,8,86.17,25.96,45.87,45.26,Tanaman Tahan Kekeringan,30.0
1797,1990,Canada,Prairies,Corn,464.66,23.74,2.3400000000000003,9,34.5,31.91,82.58,43.6,Rotasi Tanaman,-3.15
2216,1990,Canada,Prairies,Cotton,2658.53,7.64,1.19,0,83.74,45.37,3.36,54.23,Rotasi Tanaman,26.64
7571,1990,Canada,Prairies,Fruits,2662.82,5.02,1.4,4,68.69,35.17,97.98,43.99,Tanpa Adaptasi,20.83
908,1990,Canada,Prairies,Wheat,2293.19,10.26,3.75,3,52.32,40.8,94.13,66.07,Pertanian Organik,25.91
5844,1990,Canada,Prairies,Wheat,2899.87,24.74,3.4650000000000003,0,79.85,40.62,29.3,47.49,Pertanian Organik,26.84
4747,1990,Canada,Quebec,Coffee,1250.58,3.02,2.85,10,83.89,41.06,14.09,33.01,Manajemen Air,14.2
1326,1990,Canada,Quebec,Corn,2474.17,13.41,1.62,7,77.3,34.56,9.56,31.96,Tanpa Adaptasi,29.47
2155,1990,Canada,Quebec,Corn,739.72,5.03,3.27,8,13.92,5.8,9.44,44.82,Rotasi Tanaman,15.3
5413,1990,Canada,Quebec,Corn,2173.26,9.9,2.77,5,64.72,39.09,84.63,82.39,Tanaman Tahan Kekeringan,24.67
6799,1990,Canada,Quebec,Fruits,2945.33,3.3,2.69,1,62.67,7.48,94.79,85.37,Tanaman Tahan Kekeringan,33.19
6577,1990,Canada,Quebec,Vegetables,1488.84,17.35,3.519,0,51.93,27.49,19.32,44.88,Tanpa Adaptasi,24.76
2075,1990,Canada,Quebec,,2604.51,7.04,4.01,5,11.39,13.35,24.83,31.97,Pertanian Organik,16.89
2158,1991,Canada,'British Columbia',Coffee,2581.37,9.33,3.25,0,86.12,1.42,84.34,48.97,Tanpa Adaptasi,27.97
7111,1991,Canada,'British Columbia',Cotton,1433.0,0.57,1.25,4,89.27,27.49,93.42,99.34,Rotasi Tanaman,31.3
6932,1991,Canada,'British Columbia',Fruits,2359.67,14.7,1.61,0,14.53,18.39,80.44,43.91,Tanpa Adaptasi,20.49
6112,1991,Canada,'British Columbia',Rice,2783.06,5.89,3.63,9,55.79,39.79,86.34,43.8,Manajemen Air,29.71
5134,1991,Canada,'British Columbia',Vegetables,1697.45,8.36,1.61,3,95.53,6.55,23.8,47.71,Manajemen Air,29.65
5670,1991,Canada,'British Columbia',Wheat,2051.08,17.28,1.098,5,98.24,11.56,14.17,58.95,Tanaman Tahan Kekeringan,8.13
6913,1991,Canada,'British Columbia',Wheat,365.65,23.57,1.962,5,24.36,10.77,69.9,66.1,Rotasi Tanaman,26.61
3003,1991,Canada,Ontario,Coffee,1998.91,11.04,2.59,10,24.92,23.49,96.7,67.59,Pertanian Organik,-2.36
1632,1991,Canada,Ontario,Corn,1888.36,3.11,3.06,4,27.19,6.87,46.36,55.14,Rotasi Tanaman,15.08
2855,1991,Canada,Ontario,Corn,942.37,26.71,1.944,3,,2.57,23.84,43.3,Rotasi Tanaman,19.74
2601,1991,Canada,Ontario,Rice,1694.72,1.13,2.04,1,23.56,19.16,56.17,42.5,Manajemen Air,24.63
4,1991,Canada,Ontario,Vegetables,1086.67,3.71,2.43,0,14.72,7.22,28.72,41.9,Tanpa Adaptasi,4.22
