ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
3353,1990,China,Central,Cotton,1342.81,0.7,1.13,9,95.31,26.62,7.37,50.57,Tanpa Adaptasi,22.59
6371,1990,China,Central,Cotton,2254.64,26.91,2.484,1,14.6,40.46,81.65,91.29,Pertanian Organik,30.7
7353,1990,China,Central,Cotton,2563.86,2.13,2.49,3,80.9,8.44,88.94,54.89,Tanaman Tahan Kekeringan,1.36
2386,1990,China,Central,Sugarcane,,18.52,0.54,6,61.98,31.41,26.19,34.24,Tanpa Adaptasi,-1.2
2675,1990,China,Central,Vegetables,1542.22,16.89,2.007,8,59.17,22.54,37.66,92.56,Tanaman Tahan Kekeringan,15.93
6501,1990,China,Central,Vegetables,1340.65,11.6,2.89,0,43.25,18.65,26.53,99.92,Rotasi Tanaman,16.11
7272,1990,China,Central,Vegetables,2318.47,19.93,3.744,3,92.44,0.44,32.33,84.48,Tanaman Tahan Kekeringan,19.12
6528,1990,China,East,Soybeans,2614.86,25.24,2.034,10,92.69,44.21,4.35,79.57,Pertanian Organik,28.8
7641,1990,China,East,Soybeans,2925.12,14.17,1.88,7,84.85,32.72,3.76,33.81,Pertanian Organik,4.23
3201,1990,China,East,Sugarcane,1731.04,29.93,1.1880000000000002,1,90.42,48.4,25.12,61.85,Pertanian Organik,5.13
2289,1990,China,East,Wheat,269.76,29.93,2.007,5,70.8,49.57,22.82,67.66,Rotasi Tanaman,15.42
7321,1990,China,North,Barley,2380.12,14.65,4.57,10,65.26,27.45,50.91,38.42,Tanaman Tahan Kekeringan,13.3
1659,1990,China,North,Corn,2752.84,3.37,2.2,0,80.54,15.36,76.44,56.81,Rotasi Tanaman,5.68
3814,1990,China,North,Cotton,1708.48,8.36,2.28,8,60.6,46.64,3.13,64.76,Tanaman Tahan Kekeringan,4.66
7493,1990,China,North,Rice,2789.27,19.98,1.944,7,26.58,3.03,47.72,89.95,Tanaman Tahan Kekeringan,3.6
2566,1990,China,North,Wheat,213.5,27.31,1.35,9,81.11,28.79,37.12,97.27,Manajemen Air,9.28
5999,1990,China,North,Wheat,1544.36,23.91,1.098,4,46.96,29.73,46.67,37.8,Pertanian Organik,4.21
5359,1990,China,South,Barley,2409.41,10.37,2.76,3,98.3,2.06,59.88,36.75,Manajemen Air,30.28
7396,1990,China,South,Coffee,726.56,10.86,3.73,3,77.07,43.01,0.74,61.3,Tanaman Tahan Kekeringan,26.88
7436,1990,China,South,Cotton,963.38,10.33,1.48,8,70.19,22.78,86.05,48.85,Pertanian Organik,25.85
1977,1990,China,South,Fruits,2087.65,13.17,2.04,8,39.51,2.78,7.57,42.66,Tanpa Adaptasi,19.25
5014,1990,China,South,Fruits,1809.86,12.2,3.1,9,50.28,10.05,31.06,89.02,Tanaman Tahan Kekeringan,30.56
6597,1990,China,South,Sugarcane,2920.36,4.82,0.93,9,71.79,32.6,23.86,86.36,Tanpa Adaptasi,34.21
3641,1990,China,South,Wheat,2495.19,1.2,0.93,2,14.71,9.9,10.24,93.52,Tanpa Adaptasi,4.21
1976,1991,China,Central,Cotton,1760.44,8.28,2.34,8,68.79,47.07,84.25,46.8,Tanpa Adaptasi,22.12
713,1991,China,Central,Wheat,2321.0,29.47,1.548,1,35.28,16.36,28.87,60.32,Manajemen Air,30.86
