ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
5035,1990,France,'Grand Est',Barley,341.47,4.51,3.564,2,37.98,49.68,3.71,73.66,Tanpa Adaptasi,25.92
6884,1990,France,'Grand Est',Barley,1981.22,11.94,4.17,0,60.56,16.87,80.52,33.74,Rotasi Tanaman,11.96
7149,1990,France,'Grand Est',Cotton,923.99,17.65,1.512,2,82.21,4.32,58.11,74.43,Rotasi Tanaman,9.74
1864,1990,France,'Grand Est',Soybeans,1549.36,16.18,0.657,8,69.48,15.43,94.14,87.13,Tanpa Adaptasi,8.87
7335,1990,France,'Grand Est',,1468.76,5.41,3.12,5,62.01,2.49,27.56,76.44,Tanaman Tahan Kekeringan,15.23
4521,1990,France,'Provence-Alpes-Cote d’Azur',Fruits,268.2,18.18,1.89,10,64.42,11.88,30.0,83.61,Manajemen Air,15.09
6367,1990,France,'Provence-Alpes-Cote d’Azur',Rice,1012.38,20.9,2.637,0,78.41,39.0,10.63,66.69,Tanaman Tahan Kekeringan,23.2
1208,1990,France,'Provence-Alpes-Cote d’Azur',Sugarcane,879.0,29.65,1.08,0,56.08,7.7,84.21,79.76,Tanpa Adaptasi,4.16
5750,1990,France,Ile-de-France,Cotton,564.53,28.3,1.062,7,74.02,40.08,79.84,65.32,Tanpa Adaptasi,4.77
7794,1990,France,Ile-de-France,Cotton,1016.43,21.38,1.782,6,62.69,19.17,93.74,44.03,Tanaman Tahan Kekeringan,21.8
6425,1990,France,Ile-de-France,Rice,2563.06,18.25,3.51,7,,44.59,77.99,53.45,Tanpa Adaptasi,33.94
1046,1990,France,Ile-de-France,Soybeans,754.31,18.55,1.503,0,46.62,13.58,18.34,92.56,Manajemen Air,15.77
4661,1990,France,Ile-de-France,Vegetables,540.28,9.92,3.54,5,35.58,28.59,27.87,89.12,Tanaman Tahan Kekeringan,19.43
2165,1990,France,Nouvelle-Aquitaine,Fruits,448.48,29.26,1.719,3,97.43,26.96,47.95,95.49,Tanaman Tahan Kekeringan,17.19
1433,1990,France,Nouvelle-Aquitaine,Rice,494.84,8.5,2.601,2,65.26,34.85,37.96,31.22,Rotasi Tanaman,22.77
3632,1990,France,Nouvelle-Aquitaine,Vegetables,1714.72,24.94,2.124,9,15.97,46.98,43.52,71.39,Tanaman Tahan Kekeringan,22.88
2148,1991,France,'Grand Est',Coffee,2575.26,9.91,2.61,6,39.83,37.42,77.53,30.39,Pertanian Organik,5.32
5540,1991,France,'Grand Est',Corn,1956.94,22.29,1.341,5,77.77,18.75,49.88,46.85,Tanpa Adaptasi,1.08
1505,1991,France,'Grand Est',Cotton,2044.29,27.85,1.215,6,20.1,37.42,8.86,75.05,Manajemen Air,1.73
714,1991,France,'Grand Est',Rice,2122.73,20.14,4.077,8,39.27,26.76,6.85,62.31,Pertanian Organik,16.71
3254,1991,France,'Grand Est',Rice,2298.89,29.23,2.8440000000000003,4,61.42,9.0,66.21,83.63,Tanpa Adaptasi,20.55
5542,1991,France,'Grand Est',Vegetables,2851.43,26.94,1.548,7,35.98,15.82,94.95,52.07,Rotasi Tanaman,1.37
2412,1991,France,'Grand Est',,437.46,5.33,2.52,6,86.74,17.23,66.25,93.46,Pertanian Organik,26.95
2496,1991,France,'Provence-Alpes-Cote d’Azur',Barley,761.43,6.48,2.7,10,42.78,7.09,19.16,68.7,Manajemen Air,-1.49
4395,1991,France,'Provence-Alpes-Cote d’Azur',Coffee,2778.47,18.56,0.801,4,52.9,13.68,18.59,99.48,Manajemen Air,-1.52
6898,1991,France,'Provence-Alpes-Cote d’Azur',Fruits,2768.25,6.01,3.05,5,23.73,43.05,63.27,77.25,Tanpa Adaptasi,35.0
5689,1991,France,'Provence-Alpes-Cote d’Azur',Rice,2985.81,27.77,3.762,3,88.15,27.69,4.09,53.84,Tanaman Tahan Kekeringan,12.81
1365,1991,France,'Provence-Alpes-Cote d’Azur',Vegetables,856.16,8.66,3.3,2,38.11,28.98,3.46,72.74,Rotasi Tanaman,24.25
2825,1991,France,'Provence-Alpes-Cote d’Azur',Vegetables,389.93,28.82,3.4650000000000003,2,38.51,7.95,74.57,35.68,Rotasi Tanaman,18.02
4021,1991,France,Ile-de-France,Coffee,2115.44,0.88,2.02,1,60.66,30.44,8.48,49.43,Pertanian Organik,20.52
2288,1991,France,Ile-de-France,Cotton,2268.54,9.93,2.35,1,40.43,14.82,7.08,69.96,Pertanian Organik,-1.18
7762,1991,France,Ile-de-France,Cotton,269.67,29.46,1.053,0,67.01,7.31,41.85,54.76,Tanaman Tahan Kekeringan,29.05
95,1991,France,Ile-de-France,Soybeans,1779.55,22.23,0.5670000000000001,2,82.0,8.68,51.88,92.05,Pertanian Organik,4.86
3139,1991,France,Ile-de-France,Soybeans,545.04,6.49,0.57,8,30.22,27.28,32.82,53.83,Tanaman Tahan Kekeringan,-3.21
2361,1991,France,Ile-de-France,Sugarcane,2762.2,13.87,2.68,5,68.94,34.05,17.04,62.42,Manajemen Air,17.37
4289,1991,France,Ile-de-France,Sugarcane,600.24,23.84,2.862,2,30.94,13.79,45.02,59.21,Manajemen Air,31.54
889,1991,France,Ile-de-France,Vegetables,,4.18,2.99,2,14.0,18.05,56.55,74.26,Manajemen Air,28.32
5268,1991,France,Ile-de-France,Vegetables,1877.87,4.63,4.1,2,69.46,25.39,42.72,36.62,Rotasi Tanaman,10.21
86,1991,France,Nouvelle-Aquitaine,Soybeans,1878.82,3.1,4.59,5,13.93,26.07,36.94,43.28,Manajemen Air,12.31
6760,1991,France,Nouvelle-Aquitaine,Soybeans,2104.67,19.09,1.296,2,75.21,19.02,46.33,31.77,Tanaman Tahan Kekeringan,7.17
1381,1991,France,Nouvelle-Aquitaine,Vegetables,1011.55,4.89,3.29,8,78.36,37.66,78.02,62.42,Pertanian Organik,34.84
7769,1991,France,Nouvelle-Aquitaine,Vegetables,813.27,29.98,3.69,4,46.33,4.24,81.54,53.54,Pertanian Organik,18.46
5101,1992,France,'Grand Est',Barley,2282.66,11.91,3.88,9,,37.49,51.73,92.17,Rotasi Tanaman,31.52
5663,1992,France,'Grand Est',Barley,825.72,13.54,0.54,0,41.54,26.07,38.58,69.49,Rotasi Tanaman,-2.57
2469,1992,France,'Grand Est',Cotton,2213.9,29.71,0.855,0,25.22,11.52,27.16,59.79,Tanaman Tahan Kekeringan,-1.14
6786,1992,France,'Grand Est',Rice,361.64,1.63,1.413,3,66.52,4.82,92.42,35.77,Pertanian Organik,18.66
1893,1992,France,'Grand Est',Soybeans,2328.51,25.99,1.197,5,63.78,33.29,86.19,57.9,Rotasi Tanaman,33.8
4205,1992,France,'Grand Est',Sugarcane,2233.65,19.36,3.042,9,28.9,19.98,2.01,98.14,Tanaman Tahan Kekeringan,26.41
6251,1992,France,'Grand Est',Vegetables,1665.58,0.8,0.89,3,26.97,24.54,22.22,58.23,Pertanian Organik,31.54
4255,1992,France,'Provence-Alpes-Cote d’Azur',Barley,2157.9,17.48,1.179,3,94.15,36.55,19.72,30.82,Tanaman Tahan Kekeringan,-2.1
7959,1992,France,Ile-de-France,Barley,2793.42,0.89,1.77,8,77.58,35.13,8.29,36.3,Rotasi Tanaman,25.3
1935,1992,France,Ile-de-France,Coffee,996.46,28.51,2.4480000000000004,10,13.14,14.9,73.25,72.99,Rotasi Tanaman,-2.68
501,1992,France,Ile-de-France,Corn,436.31,16.12,4.455,7,99.14,15.07,3.08,33.88,Pertanian Organik,16.28
1795,1992,France,Ile-de-France,Corn,2868.86,13.96,2.16,6,12.84,47.48,24.57,79.0,Tanaman Tahan Kekeringan,17.65
