ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
2793,1990,India,'Tamil Nadu',Cotton,1692.05,2.23,2.76,2,96.7,45.74,66.53,74.8,Rotasi Tanaman,2.25
465,1990,India,'Tamil Nadu',Sugarcane,2521.02,7.51,2.71,4,97.47,10.49,17.08,63.06,Tanaman Tahan Kekeringan,9.34
7790,1990,India,'Tamil Nadu',Sugarcane,2018.84,7.65,2.32,7,39.39,44.08,5.27,95.71,Rotasi Tanaman,-2.29
3185,1990,India,'Tamil Nadu',Wheat,1089.78,3.23,1.16,7,61.47,32.23,47.83,65.68,Manajemen Air,-4.1
266,1990,India,'West Bengal',Corn,316.05,15.71,0.477,9,26.04,4.37,50.81,89.27,Tanaman Tahan Kekeringan,5.99
7162,1990,India,'West Bengal',Cotton,1928.01,17.4,2.4480000000000004,0,51.18,22.82,62.05,76.31,Rotasi Tanaman,15.74
288,1990,India,'West Bengal',Sugarcane,481.25,10.72,2.502,4,59.07,38.95,88.34,82.96,Manajemen Air,-2.03
3533,1990,India,'West Bengal',Wheat,648.6,14.95,0.81,10,41.24,16.37,68.82,33.62,Rotasi Tanaman,34.38
5292,1990,India,'West Bengal',Wheat,1630.15,22.54,1.152,1,35.0,1.37,2.62,42.89,Pertanian Organik,26.72
137,1990,India,Maharashtra,Cotton,1431.33,15.11,1.359,7,51.81,43.65,2.97,53.76,Pertanian Organik,8.34
87,1990,India,Maharashtra,Fruits,1756.22,23.26,2.889,7,41.63,22.73,71.64,49.61,Manajemen Air,22.9
4842,1990,India,Maharashtra,Wheat,1448.12,0.79,2.09,5,40.86,19.41,77.64,76.05,Tanaman Tahan Kekeringan,16.36
5305,1990,India,Maharashtra,Wheat,963.43,11.81,1.63,10,26.32,22.06,14.27,47.05,Tanpa Adaptasi,16.29
1735,1990,India,Punjab,Fruits,1349.95,27.77,2.574,10,50.86,39.44,1.46,97.34,Tanpa Adaptasi,4.03
3653,1990,India,Punjab,Sugarcane,1972.87,14.66,2.25,3,82.7,9.81,83.32,50.88,Tanpa Adaptasi,0.79
