ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
2595,1990,Nigeria,'North Central',Coffee,2484.02,9.14,3.97,9,,4.14,98.72,66.67,Tanpa Adaptasi,16.99
7203,1990,Nigeria,'North Central',Coffee,1718.62,6.01,2.82,8,89.2,46.95,57.81,70.11,Pertanian Organik,21.67
7806,1990,Nigeria,'North Central',Rice,2686.57,14.04,2.38,10,25.58,22.83,71.24,93.16,Tanpa Adaptasi,19.12
3573,1990,Nigeria,'North Central',Sugarcane,2904.06,3.42,3.68,7,61.66,10.96,20.49,34.79,Rotasi Tanaman,18.68
576,1990,Nigeria,'North West',Barley,833.75,8.47,2.24,7,12.29,21.82,35.21,77.68,Tanaman Tahan Kekeringan,34.21
2468,1990,Nigeria,'North West',Barley,1900.22,15.67,3.402,9,40.47,31.58,44.36,77.78,Pertanian Organik,30.02
4339,1990,Nigeria,'North West',Barley,1081.11,14.02,2.43,5,17.3,42.33,68.93,41.63,Tanaman Tahan Kekeringan,-0.92
1544,1990,Nigeria,'North West',Coffee,440.76,11.88,2.106,10,99.56,30.56,10.31,38.12,Manajemen Air,29.84
6790,1990,Nigeria,'North West',Fruits,535.37,7.31,1.68,1,38.71,4.1,12.15,87.53,Tanaman Tahan Kekeringan,25.79
3811,1990,Nigeria,'North West',Soybeans,1948.44,6.38,1.54,8,,20.67,4.22,86.41,Tanpa Adaptasi,2.91
5234,1990,Nigeria,'North West',Vegetables,338.35,6.57,1.116,0,47.31,22.19,1.34,74.72,Tanpa Adaptasi,4.03
2116,1990,Nigeria,'South East',Fruits,1280.16,28.79,3.852,0,34.99,29.59,11.04,62.46,Manajemen Air,17.87
6735,1990,Nigeria,'South East',Rice,2800.07,22.15,3.582,2,80.94,21.17,88.26,56.07,Manajemen Air,24.3
2017,1990,Nigeria,'South West',Fruits,2652.77,1.16,1.12,9,50.53,2.51,86.58,51.21,Pertanian Organik,34.03
1213,1990,Nigeria,'South West',Rice,1404.53,21.83,1.89,7,65.74,9.89,79.76,98.42,Manajemen Air,9.1
5350,1990,Nigeria,'South West',Soybeans,281.45,7.59,4.275,3,10.04,46.9,40.18,82.79,Rotasi Tanaman,18.63
4451,1990,Nigeria,'South West',Wheat,1945.31,26.96,3.357,7,89.12,33.95,24.4,57.4,Rotasi Tanaman,13.7
4927,1990,Nigeria,'South West',Wheat,375.62,8.82,2.583,3,37.91,43.78,81.46,32.78,Pertanian Organik,8.29
3012,1991,Nigeria,'North Central',Corn,1105.15,3.84,,8,86.53,6.89,89.81,37.57,Tanpa Adaptasi,25.27
134,1991,Nigeria,'North Central',Fruits,621.05,19.62,1.0080000000000002,7,56.16,8.5,41.76,70.98,Tanpa Adaptasi,-4.04
5521,1991,Nigeria,'North Central',Fruits,1752.76,0.69,2.19,1,24.07,16.75,12.54,36.68,Tanpa Adaptasi,2.06
6068,1991,Nigeria,'North Central',Rice,1270.84,24.99,2.358,8,87.67,25.88,25.1,40.91,Rotasi Tanaman,7.67
3050,1991,Nigeria,'North Central',Soybeans,1013.81,29.09,2.439,2,74.64,0.58,70.61,74.03,Tanpa Adaptasi,10.7
1361,1991,Nigeria,'North Central',Wheat,1625.84,15.59,2.385,5,73.44,7.59,69.57,32.43,Pertanian Organik,-2.96
4560,1991,Nigeria,'North Central',,315.79,25.84,2.097,3,19.66,40.52,28.04,87.12,Tanaman Tahan Kekeringan,-1.18
3422,1991,Nigeria,'North West',Corn,2774.32,12.9,1.92,0,34.33,40.96,11.47,40.05,Rotasi Tanaman,34.05
9,1991,Nigeria,'North West',Cotton,1746.26,25.28,2.772,7,39.09,9.33,90.96,59.65,Manajemen Air,20.3
5221,1991,Nigeria,'North West',Rice,865.03,7.03,0.72,6,14.26,14.05,48.94,40.61,Tanpa Adaptasi,9.82
798,1991,Nigeria,'North West',Sugarcane,1976.64,25.25,2.232,4,18.31,46.87,26.4,80.38,Rotasi Tanaman,15.87
1711,1991,Nigeria,'North West',Sugarcane,586.58,3.51,2.32,8,24.03,47.0,60.33,38.12,Rotasi Tanaman,16.91
3427,1991,Nigeria,'North West',Sugarcane,321.45,21.2,1.089,5,95.09,29.38,66.44,63.73,Pertanian Organik,8.34
1787,1991,Nigeria,'North West',Vegetables,2205.96,2.02,1.12,10,19.74,21.21,20.05,36.57,Rotasi Tanaman,3.26
1242,1991,Nigeria,'North West',,2998.72,8.21,3.22,6,60.21,20.02,31.46,96.23,Tanpa Adaptasi,18.41
3821,1991,Nigeria,'South East',Fruits,,20.19,2.457,5,37.83,47.25,38.37,61.01,Pertanian Organik,8.08
4140,1991,Nigeria,'South West',Barley,411.91,4.38,2.682,8,65.49,5.82,89.91,44.45,Pertanian Organik,8.07
4377,1991,Nigeria,'South West',Barley,2748.37,11.91,1.17,4,12.39,48.11,46.77,56.02,Manajemen Air,31.0
4685,1991,Nigeria,'South West',Barley,1333.9,6.83,2.15,3,89.74,6.97,6.07,41.28,Pertanian Organik,5.07
7563,1991,Nigeria,'South West',Coffee,2862.85,18.47,1.476,3,23.65,27.24,1.73,53.92,Tanpa Adaptasi,22.23
5882,1991,Nigeria,'South West',Cotton,2290.48,9.82,1.83,7,30.63,47.16,93.82,86.48,Tanaman Tahan Kekeringan,30.18
6416,1991,Nigeria,'South West',Fruits,510.91,19.6,2.241,4,67.35,18.14,12.69,76.2,Tanpa Adaptasi,14.38
6421,1991,Nigeria,'South West',Fruits,1307.02,22.81,1.998,10,24.45,45.48,3.33,51.5,Tanaman Tahan Kekeringan,-4.5
2706,1991,Nigeria,'South West',Wheat,814.25,8.17,3.85,4,86.69,32.56,83.01,31.37,Pertanian Organik,31.11
3390,1992,Nigeria,'North Central',Barley,1808.18,5.67,3.11,4,50.14,48.55,37.06,75.77,Manajemen Air,32.09
4401,1992,Nigeria,'North Central',Barley,1985.39,23.89,1.062,3,95.41,27.71,64.15,51.75,Rotasi Tanaman,9.02
