ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
522,1990,Russia,Central,Coffee,235.95,16.62,2.592,8,69.38,20.97,99.5,33.63,Rotasi Tanaman,32.02
2261,1990,Russia,Central,Coffee,2567.68,24.32,2.52,0,98.83,25.77,21.2,57.98,Manajemen Air,-1.55
3995,1990,Russia,Central,Cotton,1441.75,23.06,1.098,5,49.61,22.31,11.96,60.21,Manajemen Air,9.2
5482,1990,Russia,Central,Cotton,359.77,22.78,3.483,5,47.89,17.24,48.52,79.21,Pertanian Organik,16.1
7840,1990,Russia,Central,Rice,1103.53,8.05,,9,95.71,9.66,18.72,85.83,Tanpa Adaptasi,34.78
1530,1990,Russia,Central,Soybeans,303.52,11.09,1.116,10,80.05,10.25,34.94,50.98,Rotasi Tanaman,-2.88
1882,1990,Russia,Central,Vegetables,2690.23,29.05,0.63,0,30.01,40.87,99.65,34.14,Rotasi Tanaman,4.01
5872,1990,Russia,Central,Vegetables,2909.45,2.61,1.54,10,17.68,46.88,61.85,90.84,Pertanian Organik,3.09
4083,1990,Russia,Northwestern,Coffee,1568.56,14.58,2.26,4,70.19,8.76,79.43,79.24,Tanaman Tahan Kekeringan,24.42
5315,1990,Russia,Northwestern,Corn,1164.1,13.28,1.27,6,38.45,44.24,63.18,39.72,Pertanian Organik,34.76
1846,1990,Russia,Northwestern,Soybeans,1569.38,8.49,1.19,7,83.76,14.71,62.46,44.41,Tanaman Tahan Kekeringan,20.71
5782,1990,Russia,Northwestern,Soybeans,1002.5,7.04,2.3,6,95.37,34.8,52.33,62.5,Pertanian Organik,-1.7
1003,1990,Russia,Northwestern,Sugarcane,2625.82,4.48,0.57,10,99.05,32.22,88.34,52.61,Tanpa Adaptasi,7.19
3544,1990,Russia,Siberian,Corn,470.21,22.74,2.115,7,67.62,45.98,91.59,89.64,Manajemen Air,1.05
2376,1990,Russia,Siberian,Fruits,1177.02,5.84,1.1,5,42.4,38.74,18.22,47.48,Manajemen Air,-3.57
7148,1990,Russia,Siberian,Soybeans,2401.14,23.49,1.404,1,64.74,9.71,75.58,80.06,Rotasi Tanaman,28.55
2466,1990,Russia,Siberian,Sugarcane,438.15,22.54,2.331,8,29.54,19.62,85.07,61.81,Rotasi Tanaman,5.09
1020,1990,Russia,Volga,Barley,2087.37,22.03,0.648,5,80.97,44.22,54.19,71.67,Pertanian Organik,3.46
6685,1990,Russia,Volga,Barley,389.2,23.58,4.203,3,24.99,18.74,67.65,80.63,Manajemen Air,17.12
3345,1990,Russia,Volga,Coffee,2559.5,29.74,3.933,4,70.35,13.15,86.62,35.57,Tanpa Adaptasi,13.94
7351,1990,Russia,Volga,Coffee,2662.36,29.85,1.233,8,44.67,2.49,45.95,91.26,Manajemen Air,6.23
1090,1990,Russia,Volga,Cotton,2106.57,21.24,1.107,4,80.18,5.48,44.52,75.12,Tanpa Adaptasi,8.95
2135,1990,Russia,Volga,Fruits,262.78,16.42,,4,26.71,30.04,40.29,92.78,Pertanian Organik,3.82
12,1990,Russia,Volga,Soybeans,2110.11,9.34,0.8,4,64.44,6.22,65.73,46.02,Tanpa Adaptasi,24.12
2536,1990,Russia,Volga,Soybeans,708.91,3.98,1.93,2,71.97,31.55,33.25,73.67,Rotasi Tanaman,8.07
273,1990,Russia,Volga,Sugarcane,2583.48,2.45,0.89,3,12.03,7.31,42.99,96.49,Manajemen Air,-0.51
1334,1991,Russia,Central,Coffee,298.48,23.84,3.411,0,35.72,20.81,44.46,38.99,Rotasi Tanaman,34.63
5977,1991,Russia,Central,Corn,2731.06,22.85,1.323,7,82.0,3.28,93.46,93.99,Rotasi Tanaman,-4.45
6462,1991,Russia,Central,Fruits,329.86,6.05,3.384,4,38.34,18.81,28.35,33.28,Manajemen Air,34.81
7159,1991,Russia,Central,Fruits,395.8,20.4,2.142,1,65.7,18.13,51.79,83.54,Tanpa Adaptasi,25.74
3724,1991,Russia,Central,Vegetables,1058.39,11.92,1.24,7,61.69,11.83,13.49,50.06,Pertanian Organik,33.54
1549,1991,Russia,Central,Wheat,649.72,7.56,0.6,2,20.87,32.73,57.45,72.54,Rotasi Tanaman,-0.74
4597,1991,Russia,Central,Wheat,1055.83,22.15,3.78,6,71.27,29.71,25.92,75.37,Rotasi Tanaman,19.2
5562,1991,Russia,Central,Wheat,2316.07,9.33,3.8,3,16.98,16.7,21.3,41.95,Manajemen Air,17.01
540,1991,Russia,Northwestern,Barley,1339.3,1.71,3.23,9,61.56,2.35,46.15,82.3,Tanpa Adaptasi,30.13
6449,1991,Russia,Northwestern,Fruits,1052.23,10.17,3.17,10,41.61,1.43,62.85,67.48,Tanpa Adaptasi,15.01
1148,1991,Russia,Northwestern,Rice,360.53,0.66,2.52,10,98.19,18.18,98.13,68.53,Manajemen Air,17.46
1850,1991,Russia,Northwestern,Rice,2396.33,22.12,2.3040000000000003,1,22.6,34.28,29.53,65.68,Rotasi Tanaman,34.42
2554,1991,Russia,Northwestern,Sugarcane,1109.2,18.55,3.276,0,34.66,5.5,37.25,39.37,Tanpa Adaptasi,31.24
5762,1991,Russia,Northwestern,Wheat,1112.81,13.57,2.02,5,91.89,41.69,82.7,73.28,Pertanian Organik,14.84
229,1991,Russia,Northwestern,,519.91,29.89,1.251,6,69.0,1.12,16.89,84.2,Manajemen Air,20.07
5998,1991,Russia,Siberian,Coffee,2797.94,4.61,3.15,1,62.24,20.72,91.52,54.87,Pertanian Organik,27.56
6344,1991,Russia,Siberian,Coffee,2552.83,23.85,0.477,10,89.7,40.84,54.88,99.77,Manajemen Air,6.58
4850,1991,Russia,Siberian,Corn,2040.78,18.51,1.242,4,53.51,18.62,1.97,93.75,Pertanian Organik,-4.64
5645,1991,Russia,Siberian,Corn,712.35,5.75,0.95,1,50.79,37.12,84.83,47.06,Rotasi Tanaman,25.85
4266,1991,Russia,Siberian,Fruits,1646.55,5.2,3.08,3,78.8,48.17,25.05,41.68,Tanpa Adaptasi,15.52
1770,1991,Russia,Siberian,Rice,2519.56,20.39,3.123,3,72.14,24.46,31.99,86.16,Tanaman Tahan Kekeringan,34.79
4321,1991,Russia,Siberian,Rice,2209.13,14.54,4.02,6,23.26,49.1,65.03,40.96,Tanaman Tahan Kekeringan,19.08
2118,1991,Russia,Volga,Coffee,867.33,16.96,1.764,6,81.34,21.28,19.26,65.96,Manajemen Air,-3.91
2660,1991,Russia,Volga,Cotton,2399.72,29.56,0.558,0,21.35,15.63,51.98,34.36,Tanpa Adaptasi,-3.23
6537,1991,Russia,Volga,Soybeans,1364.2,18.54,0.531,1,64.45,5.09,30.32,69.47,Tanpa Adaptasi,9.55
4538,1991,Russia,Volga,Sugarcane,2048.46,20.83,2.718,9,90.55,2.74,48.08,78.76,Tanaman Tahan Kekeringan,32.51
803,1992,Russia,Central,Barley,1984.51,17.41,3.24,10,19.57,34.25,54.09,95.83,Manajemen Air,22.48
3358,1992,Russia,Central,Cotton,1036.04,24.71,1.953,10,71.46,38.19,80.98,90.87,Tanaman Tahan Kekeringan,7.2
5552,1992,Russia,Central,Rice,2608.65,25.02,3.825,7,64.38,35.35,89.19,60.16,Manajemen Air,11.35
408,1992,Russia,Central,Wheat,1277.89,3.32,2.12,7,35.84,1.74,45.84,74.08,Tanaman Tahan Kekeringan,3.29
