ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
1117,1990,USA,Midwest,Barley,2964.9,20.32,1.935,3,47.57,40.6,14.56,69.13,Manajemen Air,27.15
1858,1990,USA,Midwest,Barley,1433.24,11.16,1.05,0,71.39,39.45,71.57,96.65,Rotasi Tanaman,-2.89
7076,1990,USA,Midwest,Rice,1336.34,21.09,2.0160000000000005,10,63.51,47.87,56.78,85.53,Tanaman Tahan Kekeringan,3.27
3364,1990,USA,Midwest,Sugarcane,1257.73,14.53,4.57,10,46.12,5.81,78.34,35.84,Manajemen Air,18.76
7050,1990,USA,Northeast,Fruits,1747.58,5.37,2.07,9,70.97,5.9,40.84,50.84,Pertanian Organik,20.78
2851,1990,USA,Northeast,Vegetables,1534.92,26.76,2.088,0,54.74,47.33,2.64,76.14,Tanpa Adaptasi,-2.06
6924,1990,USA,South,Coffee,631.6,8.95,1.78,5,15.25,4.59,2.94,49.12,Tanpa Adaptasi,5.3
2172,1990,USA,South,Fruits,1835.15,13.23,3.75,5,58.47,3.26,68.67,55.16,Manajemen Air,25.43
4249,1990,USA,South,Fruits,2293.04,8.14,4.11,7,46.32,32.28,69.17,36.84,Tanpa Adaptasi,15.12
2521,1990,USA,West,Barley,2215.23,6.8,3.75,10,54.17,5.02,80.83,84.58,Rotasi Tanaman,23.72
3415,1990,USA,West,Wheat,1722.35,20.14,,1,63.76,17.65,54.47,46.95,Manajemen Air,-1.28
5188,1991,USA,Midwest,Barley,2061.58,26.0,3.51,1,47.9,43.43,70.79,95.23,Pertanian Organik,23.1
3961,1991,USA,Midwest,Coffee,2141.28,24.03,3.438,6,59.16,12.15,31.72,82.59,Tanaman Tahan Kekeringan,27.76
212,1991,USA,Midwest,Corn,,20.83,1.863,5,30.24,41.5,9.59,40.63,Manajemen Air,3.99
4165,1991,USA,Midwest,Fruits,2062.9,1.38,4.14,10,42.56,45.44,44.9,65.11,Pertanian Organik,18.06
7983,1991,USA,Midwest,Rice,,7.01,3.13,0,55.74,38.81,29.25,79.86,Rotasi Tanaman,23.62
954,1991,USA,Midwest,Wheat,1758.07,28.69,1.908,1,57.9,11.81,59.95,31.89,Tanaman Tahan Kekeringan,20.26
799,1991,USA,Northeast,Barley,2758.27,21.55,1.62,4,31.67,45.86,23.09,30.27,Pertanian Organik,15.93
6927,1991,USA,Northeast,Coffee,2404.5,19.25,1.917,5,69.24,45.77,12.64,31.23,Manajemen Air,-1.52
2551,1991,USA,Northeast,Corn,2343.96,17.66,1.278,0,16.08,15.3,71.99,49.81,Tanpa Adaptasi,-1.65
440,1991,USA,Northeast,Cotton,1795.95,25.36,1.7009999999999998,3,11.82,4.01,73.32,56.53,Rotasi Tanaman,2.03
3452,1991,USA,Northeast,Fruits,2628.12,16.96,3.51,6,80.44,40.73,91.91,99.39,Pertanian Organik,29.06
2356,1991,USA,Northeast,Sugarcane,2921.93,27.4,1.647,6,45.82,14.07,10.58,61.18,Manajemen Air,31.89
2481,1991,USA,Northeast,Wheat,614.39,28.71,2.403,3,36.76,44.91,99.45,70.08,Pertanian Organik,1.46
2233,1991,USA,South,Cotton,2720.53,24.0,1.2060000000000002,3,83.8,28.41,55.43,43.89,Pertanian Organik,3.24
1257,1991,USA,South,Vegetables,824.98,4.36,,10,15.5,28.93,85.26,35.16,Manajemen Air,12.23
